"Código SIEX";"Código";"Categoría";"Nombre científico";"EPPO cd";"Observaciones";Fecha de alta;Fecha de modificación;Fecha de baja
"493";"8.74.1.4";"Lepra del cerezo, Taphrina wiesneri";"Taphrina wiesneri";"TAPHWI";"También descrito como Taphrina cerasi.";03/07/2024;03/07/2024;
"494";"8.75";"Tilletiaceae";"Tilletiaceae";"1TILLF";;03/07/2024;03/07/2024;
"495";"8.75.1";"Caries, Tilletia spp.";"Tilletia spp.";"1TILLG";;03/07/2024;03/07/2024;
"496";"8.75.1.1";"Caries, Tilletia caries";"Tilletia caries";"TILLCA";"También descrito como Tilletia tritici.";03/07/2024;03/07/2024;
"497";"8.75.1.2";"Caries, Tilletia controversa";"Tilletia controversa";"TILLCO";;03/07/2024;03/07/2024;
"498";"8.75.1.3";"Caries, Tilletia laevis";"Tilletia laevis";"TILLFO";"También descrito como Tilletia foetida.";03/07/2024;03/07/2024;
"499";"8.76";"Togniniaceae";"Togniniaceae";"1TOGNF";;03/07/2024;03/07/2024;
"500";"8.76.1";"Enfermedad de Petri, Phaeoacremonium minimum";"Phaeoacremonium minimum";"TOGNMI";"También descrito como Phaeoacremonium aleophilum.";03/07/2024;03/07/2024;
"501";"8.77";"Trichocomaceae";"Trichocomaceae";"1TRCMF";;03/07/2024;03/07/2024;
"502";"8.77.1";"Aspergilus, Aspergillus spp.";"Aspergillus spp.";"1ASPEG";"Incluye especies del género Aspergillus como A.niger.";03/07/2024;03/07/2024;
"503";"8.77.2";"Penicilium, Penicillium spp.";"Penicillium spp.";"1PENIG";"Incluye especies del género Penicillium como P.allii, P.hirsutum, P.corybiferum, P.viridicatum, P.digitatum o P.cyclopium.";03/07/2024;03/07/2024;
"504";"8.78";"Typhulaceae";"Typhulaceae";"1TYPHF";;03/07/2024;03/07/2024;
"505";"8.78.1";"Typhula spp.";"Typhula spp.";"1TYPHG";;03/07/2024;03/07/2024;
"506";"8.78.1.1";"Moho, tífula de los cereales, Typhula incarnata";"Typhula incarnata";"TYPHIN";;03/07/2024;03/07/2024;
"507";"8.79";"Urocystidaceae";"Urocystidaceae";"1URCYF";;03/07/2024;03/07/2024;
"508";"8.79.1";"Urocystis spp.";"Urocystis spp.";"1UROCG";;03/07/2024;03/07/2024;
"509";"8.79.1.1";"Tizón del puerro, Urocystis magica";"Urocystis magica";"UROCCE";"También descrito como Urocystis colchici o U.cepulae. También conocido comúnmente como carbón de la cebolla.";03/07/2024;03/07/2024;
"510";"8.79.1.2";"Carbón del tallo del centeno, Urocystis occulta";"Urocystis occulta";"UROCOC";;03/07/2024;03/07/2024;
"511";"8.80";"Urophlyctidaceae";"Urophlyctidaceae";"1UROPF";;03/07/2024;03/07/2024;
"512";"8.80.1";"Urophlyctis spp.";"Urophlyctis spp.";"1UROPG";;03/07/2024;03/07/2024;
"513";"8.80.1.1";"Lepra de la remolacha, Urophlyctis leproides";"Urophlyctis leproides";"UROPLE ";;03/07/2024;03/07/2024;
"514";"8.81";"Ustilaginaceae";"Ustilaginaceae";"1USTIF";;03/07/2024;03/07/2024;
"515";"8.81.1";"Carbón desnudo, Ustilago spp.";"Ustilago spp.";"1USTIG";;03/07/2024;03/07/2024;
"516";"8.81.1.3";"Carbón común del maíz, Ustilago maydis";"Ustilago maydis";"USTIMA";;03/07/2024;03/07/2024;
"517";"8.81.1.4";"Carbón desnudo, Ustilago segetum var. nuda";"Ustilago segetum var. nuda";"USTINH";"También descrito como Ustilago nuda";03/07/2024;03/07/2024;
"518";"8.81.1.5";"Carbón desnudo, Ustilago segetum var. tritici";"Ustilago segetum var. tritici";"USTINT";"También descrito como Ustilago tritici";03/07/2024;03/07/2024;
"519";"8.81.2";"Sporisorium spp.";"Sporisorium spp.";"1SPSRG";;03/07/2024;03/07/2024;
"520";"8.81.2.1";"Carbón de la espiga del maíz, Sporisorium reilianum";"Sporisorium reilianum";"SPHTRE";"También descrito como Sphacelotheca reiliana.";03/07/2024;03/07/2024;
"521";"8.82";"Valsaceae";"Valsaceae";"1VALSF";;03/07/2024;03/07/2024;
"522";"8.82.1";"Apiognomonia spp.";"Apiognomonia spp.";"1APIGG";;03/07/2024;03/07/2024;
"523";"8.82.1.1";"Gnomonia del cerezo, Apiognomonia erythrostoma";"Apiognomonia erythrostoma";"GNOMER";"También descrito como Gnomonia erythrostoma.";03/07/2024;03/07/2024;
"524";"8.82.1.2";"Antracnosis del plátano de paseo, Apiognomonia platani";"Apiognomonia platani";"APIGVE";"También descrito como Gnomonia veneta.";03/07/2024;03/07/2024;
"525";"8.82.2";"Ophiognomonia spp.";"Ophiognomonia spp.";"1OPHGG";;03/07/2024;03/07/2024;
"526";"8.82.2.1";"Antracnosis del nogal, Ophiognomonia leptostyla";"Ophiognomonia leptostyla";"GNOMLE";"También descrito como Gnomonia leptostyla.";03/07/2024;03/07/2024;
"527";"8.83";"Venturiaceae";"Venturiaceae";"1VENTF";;03/07/2024;03/07/2024;
"528";"8.83.1";"Venturia spp.";"Venturia spp.";"1VENTG";;03/07/2024;03/07/2024;
"529";"8.83.1.1";"Moteado del melocotonero, Venturia carpophila";"Venturia carpophila";"VENTCA";;03/07/2024;03/07/2024;
"530";"8.83.1.2";"Moteado, cribado del cerezo,Venturia cerasi";"Venturia cerasi";"VENTCE";;03/07/2024;03/07/2024;
"531";"8.83.1.3";"Moteado o roña del manzano, Venturia inaequalis";"Venturia inaequalis";"VENTIN";"También descrito como Fusicladium eriobotryae.";03/07/2024;03/07/2024;
"532";"8.83.1.4";"Repilo del olivo, Venturia oleaginea";"Venturia oleaginea";"CYCLOL";"También descrito como Fusicladium oleagineum y Cycloconium oleaginum.";03/07/2024;03/07/2024;
"533";"8.83.1.5";"Moteado o roña del peral, Venturia pyrina";"Venturia pyrina";"VENTPI";;03/07/2024;03/07/2024;
"534";"8.84";"Xylariaceae";"Xylariaceae";"1XYLAF";;03/07/2024;03/07/2024;
"535";"8.84.1";"Biscogniauxia spp.";"Biscogniauxia spp.";"1BISCG";;03/07/2024;03/07/2024;
"536";"8.84.1.1";"Placa carbonosa del alcornoque, Biscogniauxia mediterranea";"Biscogniauxia mediterranea";"HYPOME";"También descrito como Hypoxylon mediterraneum.";03/07/2024;03/07/2024;
"537";"8.84.2";"Rosellinia spp.";"Rosellinia spp.";"1ROSLG";;03/07/2024;03/07/2024;
"538";"8.84.2.1";"Podredumbre de raíz, Rosellinia necatrix";"Rosellinia necatrix";"ROSLNE";;03/07/2024;03/07/2024;
"539";"9";"Bacteriosis";"Bacteria";"1BACTK";;03/07/2024;03/07/2024;
"540";"9.1";"Desinfección de sustratos (bacteriosis)";"Bacteria";"1BACTK, substrate";"Desinfección de sustratos y mantillos";03/07/2024;03/07/2024;
"541";"9.2";"Enfermedades post-cosecha (bacteriosis)";"Bacteria";"1BACTK, post-harvest";;03/07/2024;03/07/2024;
"542";"9.3";"Agrobacterium spp.";"Agrobacterium spp.";"1AGRBG";;03/07/2024;03/07/2024;
"543";"9.3.1";"Tumor del cuello, Agrobacterium tumefaciens";"Agrobacterium tumefaciens";"AGRBTU";"También conocido comúnmente como agalla del cuello.";03/07/2024;03/07/2024;
"544";"9.4";"Clavibacter spp.";"Clavibacter spp.";"1CLAVG";;03/07/2024;03/07/2024;
"545";"9.4.1";"Chancro bacteriano del tomate, Clavibacter michiganensis subsp.michiganensis";"Clavibacter michiganensis subsp.michiganensis";"CORBMI";"También conocido comúnmente como marchitez bacteriana del tomate.";03/07/2024;03/07/2024;
"546";"9.4.2";"Podredumbre anular de la patata, Clavibacter sepedonicus";"Clavibacter sepedonicus";"CORBSE";"También descrito como Clavibacter michiganensis  subsp.sepedonicus.";03/07/2024;03/07/2024;
